副本名,1,2,3,4,5,6
邪教驻地无限城古堡,进门两个小怪之一会读条召唤妖异 眩晕/沉默打断即可 ,老一夺神魔 开场是一个小怪召唤BOSS 无法打断 直接击杀即可 T拉住小怪 集火召唤出来的boss 出啥躲啥,,"老二恶魔墙 这个BOSS会无视仇恨随机攻击小队成员 地板会按照中间→两边的顺序变黑
地板变黑请立刻躲避 躲完黑地板后移动到中央 BOSS会读条击退",,"老三阿难塔波嘉 这个BOSS有超巨大范围的扫尾技能 T请侧过来拉
BOSS读条“天灾降临”时 需要所有玩家躲避到石像之后躲避 "
领航明灯天狼星灯塔,,老一不沉者 西蒙德 第一时间转火小狗 躲避地板AOE 奶妈随时准备群抬,,"老二祖 有事没事都别碰鸟蛋 鸟蛋过一段时间就会孵化 优先打公的
boss上天后所有人远离T",记得去侧面关阀门,"塞壬 T开怪后把BOSS放在场中央背对人群 优先击杀 爬行小怪
BOSS读条“死者之歌”后 H需要奶满有BUFF的玩家 注意躲避俯冲"
骚乱坑道铜铃铜山,,老一百臂主脑巨人 T把BOSS带走到没有火的地方 刷新爆弹怪需要DPS第一时间击杀,,老二比吉 需要DPS启动装置 捡起炸弹 并放在BOSS脚下 炸弹炸几次之后 BOSS就会从石头人上下来 此时全员攻击BOSS即可,,"老三复仇者 乌拉诺斯 开场T把BOSS拉到场地边缘 屏幕提示“沙虫在找吃的”时 H或者远程DPS把水晶搬到沙地上 
DPS优先击杀小怪"
恶灵府邸静语庄园,,老一庄园的小丑 T拉住小怪 DPS集火即可,,老二阿修 BOSS有顺劈 正面不要有人 注意躲避AOE和旋转剑 小怪出场请转火,,老三哈利卡纳苏斯 小怪请第一时间转火 否则会有灭团级AOE 第二次小怪刷新后 DPS酌情停手等第三波刷新后击杀
腐坏遗迹无限城市街古迹,,老一腐坏贪吃鬼 BOSS每过一段时间会吞下一名玩家 需要剩下的人集火贪婪大口解救被吞掉的玩家,,老二阿里奥克 开场只有小怪 需要由T独自击杀小怪 DPS尽量不要碰小怪,,"老三迪亚波罗斯 开场场边会有8个门 开怪之后门上会出现标记 相同图案两两一组 一共4组 
门上的图案过几秒就会消失 正攻需要除了T的3名玩家使用游戏的目标标点功能 对门做标记以作应对 
“噩梦”需要打断 “破灭预兆”需要打开图案相同的两扇门 以躲避接下来的巨大伤害 "
剑斗领域日影地修炼所,,"老一皮拉刻蒙 BOSS读条百吨横扫时 T穿背躲避 百吨回转所有人远离BOSS
当场地变蓝时 点BOSS身后的装置 所有人去吃魔法人偶身边的buff",,老二卡托布莱帕斯 当BOSS读条“恶魔之瞳” 吃场边的幽暗珠 出现“不净的魔眼”需尽快击杀魔眼,,"老三退位主教 穆穆埃珀 T拉好开场小怪 主教会随机定身2名玩家 需要自由的玩家触摸咒具解开束缚
请务必去救人"
纷争要地布雷福洛克斯野营地,,老一青蓝之手指挥官 连线可以传递 注意躲好十字雷 ,,老二3号哥布林装甲 出啥躲啥 有随机点名冲锋 躲开路径即可,,"老三6号哥布林坦克 BOSS打一会就会绕场旋转 转火小怪 
接下来BOSS会往场里扔炸弹 需要用技能把炸弹打到场边去"
财宝传说破舰岛,,老一大脚巨猿 出小怪一定先打小怪 T可以不用拉  当BOSS开始全屏AOE时 需要调查场边的树 让BOSS吃掉掉下来的香蕉,沿途的宝箱都要开 有些会出拟态怪 开箱子或者拟态怪会掉石板 需要凑齐4个石板才能开门 ,老二肖鲁姆 开场BOSS会在场周召唤一堆水泡 不要离得太近 会被吸进去 当BOSS偶潜入地底 出现大漩涡时 需要钻到水泡里躲避,,"老三克拉肯 每个岛上会出2只腕足 还有2只触手 触手请优先击杀
BOSS会随机点一名玩家 头上出现绿色的小石头 需要跳到隔壁没人的岛上 等陨石消失并出现漩涡后 才能返回"
惨剧灵殿塔姆·塔拉墓园,,老一证婚人，不要打任何小怪，不要用任何AOE技能，站在一起等BOSS放技能打掉小怪即可。,沿途要把的怪都打掉才行。dps调查棺材会眩晕开棺材的人并读条AOE，需要眩晕打断,老二备用的躯体，黑洞需要玩家去撞掉，无减伤裸吃的话最多吃2个，奶妈要注意加血。大球建议2~3名玩家一起去撞。BOSS会点名淤泥，T注意带位，自己不要站进去，给DPS留出输出空间。中间的NPC不能死，如果血量过低可以考虑奶妈加血。,,老三雄壮的OOO，中央发黑的区域不要去，会持续掉血。过一段时间场周围会出现一堆小怪，需要所有人迅速击杀，小怪爬到场中央后会点亮符文，一般点亮4~5个之后就很容易团灭了。
凛冽洞天披雪大冰壁,,老一冰锥万迪尔，BOSS读条“风雪”之后2~4s会出现暴风雪，保持移动或跳跃可以避免被叠buff。BOSS使用冻原技能后，偶尔会召唤寒霜爆弹，爆弹怪爆炸之后也会叠buff。buff叠上4层就会被冻住，并持续掉血。,中间会穿过有暴风雪的区域，不要站在里面，会持续掉血。冰元精不太好聚怪，可以拉着多跑一点距离。不建议一波，非常疼。,老二大脚雪人，需要T把BOSS拉到场边，并面向场中。场上会刷两种小怪，魔石精不打，由奶妈刷血拉住仇恨，并带到场中，BOSS会读条超大范围扇形攻击，把魔石精冻成雪球(玩家记得躲开不要被喷到了)。雪球被BOSS喷到还可以变大，喷两次就是最大了，此时可以使用任意攻击技能攻击雪球，把雪球推向BOSS即可造成大量伤害。场上要留一两个雪球，当BOSS读条全屏AOE时，同样需要推动雪球将其打断。DPS要注意场上的霜冻食人魔，它会打碎雪球，当它出现时要第一时间击杀。,有会读条“龙血”需要注意打断的异端者。龙鸟AOE很疼，奶妈注意抬血。,老三芬里尔，正面有顺劈，出啥躲啥。偶数次冰柱掉下来之后，躲在仅剩的一根冰柱之后，否则会被冻住，还会被芬里尔飞扑，奶妈注意照顾一下没躲好冰柱的小萌新们…
逆转要害沙斯塔夏溶洞,,老一真红龙虾，这个BOSS会对随机玩家吐痰并附加掉血减速效果。所有人稍微分散一些站位，被到吐的玩家需要奶妈立刻驱散并抬满血。BOSS还会读条螺旋尾，这个技能会对目标玩家造成巨大伤害(大约90%)，可以打断，第一次螺旋尾可以由T眩晕打断，第二次开始BOSS会把T晕住(这个晕人点名可以被传递，但是注意在传递途中可能会被BOSS吐痰或者吃到额外技能)，需要近战DPS打断，但无论是否有人打断螺旋尾，都需要奶妈在BOSS读条一半左右的时候预读大加血，预防打断失败或无人打断的情况。,沿途的水泡接触到怪会给怪加很多血。如果DPS充足的话，可以两名DPS集火和谐怪，如果DPS不足，可以由远程DPS点掉水泡，近战DPS打和谐怪。,老二麦迪逊原船长，当BOSS标记一名玩家并射击的时候，需要所有人优先集火BOSS打断。召唤的小怪打人并不疼，注意先打地上爬的就可以了(它会定身)。,老三门前的大怪会召唤一大堆小怪…建议大家都站在一起方便聚怪。远程DPS可以考虑放LB。,老三克拉肯，进门后小水塘会出现触手和腕足两种须子，要打腕足，腕足都打掉之后再打本体即可，触手虽然会抓人，但是可以不打，注意及时跑开即可。T可以躲在BOSS身侧最里面的位置，吃到的伤害相对较少(也可能是玄学…)，奶妈务必注意，因为场地很大加上大家都在跑来跑去，你的群疗很可能加不上，需要及时抬血。
苏醒遗迹喀恩埋没圣堂,,老一受损的审判化身 开战后不久 会有某个部位发光 集火该部位即可,途中的蛇会石化需要注意,老二仙人刺女皇 BOSS读条“十万针刺”时 需要集火攻击打断咏唱 场上出现“仙人掌守卫” 先打掉守卫接下来马上集火boss,,"老三审理神代言者 四周会升起棺材 里面会跑出木乃伊 躲开它的直线前进方向 BOSS读条“怨恨的斩击” 是对随机一名玩家的直线范围AOE 
BOSS还会随机连线一名玩家 被连线的人远离boss 绕场狂奔"
幻龙残骸密约之塔,,老一独爪妖禽 T把BOSS放在场边 请打飞水箱 DPS和H注意身后和四周也不要有水箱,,老二魔导炮艇 BOSS会随机点名一名玩家飞过去并沿途扔一堆火圈 被点名的玩家最好前往场边引导火圈的位置,,"老三尘世幻龙 场地上有两条小龙 BOSS血量下降到一定程度后就会复活小龙 第一条龙需要远离BOSS 而第二条龙需要接近BOSS 
小龙打到一定程度后 会刷新一个魔导机器 第一时间集火 场地上出现全场蓝色的范围AOE时 打开魔导屏障发生器 并且躲进去"
武装圣域放浪神古神殿,,老一折角骑士 奥尔加 老一每隔一会就会往地上扔一把标枪 注意及时转火打掉标枪,,"老二湿皮妖师 佐尔加 会满地插图腾 图腾有4个效果：变蛙、伤害增加、火耐性降低和加重
颜色和效果的对应每次进本都是*随机*的 需要找到伤害图腾且踩掉",,"老三光鳞兄弟 莫拉加加 当BOSS插战旗时 T要带着BOSS离开战旗范围 而插祭器时 需要DPS集火打掉祭器 
BOSS会随机点名玩家死亡宣告 需要奶妈为该玩家加满血"
邪念妖地无限城古堡,,老一安可哈格 T开场注意不要让BOSS面对任何一个石像 当某名玩家被点名时 请立刻躲到石像后 等BOSS伤害连线消失后再出来,,老二夜魔人 当BOSS隐身时 攻击场上的“幻光球” 踩一下留下光圈获得含光的buff 带有这个buff玩家去找隐身的boss 把boss炸出来 ,,老三弗迪亚 当BOSS回到中场并有小怪连线时 要注意迅速击杀小怪 当玩家被一个粘液胶一样的玩意儿定身时 也请注意解救
